"@title","ไทย"
"#01529","<pic=raup1>Taxes"
"#01530","　Adventurers with <pic=t_ca6>homes in town will pay taxes once a year. The more monsters they defeated, the more they will pay you."
"#01531","<pic=indicate0>Gifts"
"#01532","　<pic=indicate0>Giving adventurers items or equipment will improve their <pic=moti0>Satisfaction and <pic=moti1>Work stats. Gifts like this can play a major part in developing your town."
"#01533","Changing Jobs"
"#01534","　<pic=tpoint0>Town Points can be used to change adventurers' jobs after they have mastered their current occupations. All their stats will be carried over, so the more they switch jobs, the stronger they'll get."
"#01535","Facilities 1"
"#01536","<pic=t_ca5>Inn<br>Staying at an inn fully restores an adventurer's HP. Adventurers defeated in battle are also taken there to recover. Building one in your town is definitely a good idea!"
"#01537","=MID(#01535,1,-1)&'2'"
"#01538","<pic=t_ca3>Stores<br>Adventurers can purchase new weapons, accessories, and armor at stores around town. You can toggle auto-equip on or off in the Settings."
"#01539","=MID(#01535,1,-1)&'3'"
"#01540","<pic=t_ca1>Other Facilities<br>Adventurers also spend gold at other facilities they use, which will sometimes boost their stats. If the <pic=shop00_1>quality of these facilities is high enough, they can also boost adventurers' <pic=moti0>Satisfaction."
"#01541","Upgrading Facilities"
"#01542","　Upgrade items can be used to boost a facility's <pic=shop00_0>price, <pic=shop00_1>quality, and <pic=shop00_2> appeal. Facilities with higher <pic=shop00_2> appeal will get used more often."
"#01543","<pic=tpoint0>Town Points"
"#01544","　You will receive <pic=tpoint0>Town Points each month based on the number of monsters your adventurers defeat. These can be used to change jobs, purchase facilities, hold events, and more."
"#01545","<pic=tpoint1>Diamond Points"
"#01546","　<pic=tpoint1>Diamond Points can be used to purchase rare items and equipment, or exchanged for gold at stores. You can find them on dungeon expeditions if you're lucky."
"#01547","<pic=raup0>Popularity"
"#01548","　<pic=moti0>Satisfying visiting adventurers and building facilities will increase your town's <pic=raup0>Popularity. As you become more popular, more adventurers will come visit your town."
"#01549","Quest Types 1"
"#01550","<pic=q2_1>Dungeon Exploration<br>Explore dungeons that are discovered near your town to look for treasure. Parties with more adventurers will be able to complete these quests faster."
"#01551","=MID(#01549,1,-1)&'2'"
"#01552","<pic=q2_0>Defeating Monsters<br>Defeat packs of monsters that appear outside of town. The more adventurers take part, the easier the victory."
"#01553","=MID(#01549,1,-1)&'3'"
"#01554","<pic=q2_0>Monster Rematches<br>After being defeated, monsters may come back stronger than before and demand to fight again. Monster Rematch quests expire after a set amount of time."
"#01555","<pic=star1>Town Ranking"
"#01556","　Fulfilling certain conditions will increase your town's rank. At higher ranks, stores will have better items available and you'll be able to take on more advanced quests."
"#01557","<pic=raup2>Events"
"#01558","　Holding events will make your town more <pic=raup0>popular, increasing your adventurers' stats and <pic=moti0>Satisfaction. You can only hold a limited number of events each season."
"#01559","<pic=aseve6>Magic Cauldron"
"#01560","　You can put items or monsters into a Cauldron to earn Magic Points, which can be converted into rare facilities and equipment. New recipes can be discovered by conducting research at the Magic Lab."
"#01561","<pic=aseve6>Magic Cauldron Upgrades"
"#01562","　Magic Points can also be used to level up your <pic=pr0>weapons, improving their <pic=para00_1> and <pic=para00_3>."
"#01563","<pic=raup9>Partner Monsters"
"#01564","　Mages are sometimes able to tame monsters defeated by their party. These monsters can then be assigned to adventurers to help them out during quests. Once their <pic=fri0>Friendship level is high enough, adventurers can also ride their monsters."
"#01565","The Monster Farm"
"#01566","　Monsters not paired with an adventurer will be sent to the <pic=t_ca0> Monster Farm. The farm can also be used to switch partner monsters."
"#01567","Trait Points 1"
"#01568","Collecting Trait Points will help your town stand out from the crowd. Building <pic=pla0>facilities, unlocking new <pic=pla2> adventurer jobs, holding <pic=pla4> events, using <pic=pla3> items, and recruiting <pic=pla6> partner monsters can all increase your Trait Points."
"#01569","=MID(#01567,1,-1)&'2'"
"#01570","Actions such as giving gifts, using items on facilities, giving monsters treats, or collecting crops from the farm can all help increase your Trait Points."
"#01571","=MID(#01567,1,-1)&'3'"
"#01572","Holding <pic=pla4>events or using <pic=pla3>items will increase your town's Trait Points temporarily. After a little while, they'll go back down again."
"#01573","<pic=q2_2>Town Guide Contests"
"#01574","　The kingdom's Town Guide will hold regular contests that challenge you to customize your town according to a certain theme. You'll need to get enough Trait Points in the correct category to win."
"#01575","Town Titles"
"#01576","　As you collect more Trait Points, you'll earn special Titles for your town. Experiment with different approaches and try to collect them all!"
"#01577","The World Map"
"#01578","　After reaching a certain point in the game, you'll be able to access the world map. This will allow you to check up on the region's residents and eventually build towns in different regions."
"#01579","Moving Town"
"#01580","　After fulfilling certain conditions, you'll be able to move to a new region and start a new town from scratch. When you move, you'll keep all the facilities, weapons, and items from your previous town. You can also switch back to your previous town after moving."
"#01581","Local Residents"
"#01582","　As you increase your Trait Points, people from the surrounding area will visit your town and shop in your stores. You might even attract new adventurers this way."
"#01583","About This Game"
"#01584","A New Beginning"
"#01585","The little town of <0>, once a favorite among adventurers, may be getting back on its feet. The arrival of a new mayor has spurred visits by a handful of adventurers wanting to try their luck.<br>   ""We want to make our town a safe haven for the monster hunter, so please stop by and see what we have to offer,"" said the mayor with a smile.<br>   We will certainly be keeping an eye on <0> for any future developments."
"#01586","Into the Dungeon"
"#01587","　We've just heard news that adventurers visiting <0> have successfully explored their first dungeon. While there had long been rumors of treasure in the area, monsters lurking in the dungeon always hampered any attempts to retrieve it. Until now. Thanks to the efforts of a few brave individuals, the treasure has been recovered.<br>   One participant in the expedition took a shine to the town, saying, ""I'm going to move here so I can set out on more of these adventures. Even in the darkest dungeons, I think I have a bright future!""<br>    Perhaps the same can be said of <0>."
"#01588","Monsters Mashed!"
"#01589","　More good news from <0>! Adventurers working from the struggling outpost town have defeated a group of monsters causing trouble in the area. Beaming from ear to ear, the mayor told us, ""These proud warriors have really been working hard. I wasn't sure how things would work out at first, but now the town just wouldn't be the same without them!""<br>   If you're in the neighborhood, why not drop by <0> and try your luck at monster hunting?"
"#01590","Home Sweet Home"
"#01591","　Our sources indicate that <0> regular <1> liked the town enough to build a house there. When we paid a visit, <1> was smiling happily in front of a cozy fireplace.<br>   ""Now I've got my own place, I don't have to worry about my roommates snoring anymore. I can finally get a good night's sleep!""<br>   Astute readers may already know that using high-quality facilities or receiving gifts helps increase an adventurer's Satisfaction, making them more likely to want to stay for good in town. Will <0> be able to attract more residents this way? Stay tuned."
"#01592","The Perfect Base"
"#01593","　A recent survey revealed that all of the adventurers who visited <0> have built homes there. Many have expressed surprise at the way this little town has convinced these stalwart wanderers to settle down. We asked one adventurer about his decision to move there.<br>   ""They've got a wealth of facilities, plus the highest quality arms and armor. What more could you want?"" And with one last smile, he headed off to explore another dungeon."
"#01594","To Adventure or Not to Adventure"
"#01595","　Do your adventurers do nothing but lie around the house? Do you wish they'd get out there and actually fight some monsters? We've managed to determine the main reason some fail to live up to expectations. Each adventurer has a ""Work"" attribute that shows how much they're willing to work to improve their town. The higher it is, the more motivated they are to fight monsters. You can help motivate your warriors by giving them items or even awarding medals at the end of the year. Try it with one of your homebodies today!"
"#01596","Rising Star"
"#01597","　Those who have been following the progress of <0> will be happy to learn that the town has received its first star rating. Town representatives were overjoyed at the news, which comes so quickly after their change in management.<br>   ""It just goes to show that our efforts to make this place the ideal stop for adventurers have paid off,"" said the mayor. ""But this is only the first step. We'll keep working hard!""<br>   Indeed, we hope this is just the first of many victories for <0>."
"#01598","Two-Star Town"
"#01599","　Never content to rest on its laurels, <0> has been awarded its second star rating. We reached out to the mayor's office for a statement on this happy occasion.<br>   ""I had a feeling our residents have been looking a little happier lately. The new rank proves we're on the right track to become an even better town!""<br>   We offer our congratulations to <0> and wish them the very best in future."
"#01600","Three's a Crowd"
"#01601","　We have just learned that <0>, the outpost town we have been following since its change in management, has received a coveted 3-star rating from the Adventurers Guild. The town's many facilities and growing population have attracted attention from the surrounding area. Some mayors are even looking to <0> for advice on how to turn their own towns around. We hope things continue to go well for <0>."
"#01602","One ""Four"" the Road"
"#01603","　<0>'s rise to fame shows no signs of slowing. In fact, the town has just earned its fourth star ranking. Looking around at its many facilities and satisfied residents, it's easy to see why.<br>   With a fire in their eyes, the mayor told us, ""We won't let this success go to our heads. We're just going to keep on doing what we've always done to make this the kind of place adventurers can fall in love with.""<br>   Just how far will <0>? We have a feeling they're still just getting started."
"#01604","Five Alive"
"#01605","　We have just received word that <0> has received a 5-star rating--the highest rating conferred by the Adventurers Guild. Upon hearing the news, the residents of the town began dancing in the streets. We caught up with the mayor in the empty meeting hall after the celebration had ended.<br>   ""Our quiet little town in the middle of nowhere being awarded such an honor, it's...well, it's unbelievable!""<br>   Well done, mayor. You've earned every one of those stars."
"#01606","School of Hard Knocks"
"#01607","　<0> has been making some impressive additions recently, including a Combat School.<br>   ""Once I swing my sword 10,000 more times, I should be ready to try it on a real monster!"" said one student who was recuperating from muscle pain.<br>   We're all on tenterhooks waiting to see what <0> has in store next."
"#01608","Giving Back to Nature"
"#01609","　<0> is well known for its natural surroundings, and it seems its residents want to honor that. The town recently planted a sacred tree as part of a ceremony intended to give something back to the local environment.<br>   One nature-loving adventurer told us, ""We had trouble finding a place to plant a tree this big, but now it looks like it's been there for years. Between the clean air it provides and the soothing, spiritual atmosphere, it's easy to just hang out and relax here for hours at a time.""<br>   Those seeking a place to get away from the hustle and bustle of modern life should consider paying <0> a visit."
"#01610","Clowning Around"
"#01611","　Crowds have been flocking to <0> to see its latest attraction - a circus ground! This new entertainment facility is already a hit with young-at-heart adventurers.<br>   ""For us, it's all about putting on a show and giving our audience a thrill night after night,"" the ringleader said. ""Now if you'll excuse me, our contortionist has tied herself in a knot and I need to help disentangle her.""<br>   Why not grab some popcorn and make your way to <0> today?"
"#01612","=#00696"
"#01613","　For those of you seeking a more sophisticated dining experience, we recommend the High-Class Restaurant that recently opened in <0>. Adventurers from far and wide are starting to take notice of the venue.<br>   One such patron told us, ""I had my doubts if I'd fit in at a fancy place like this, but now I come here almost every week. It's given me a taste for the finer things in life!""<br>   Be sure not to sleep on this one - the waiting list for a reservation is getting longer by the day!"
"#01614","Back to School"
"#01615","　Class is in session over at <0>. The town recently opened a new schoolhouse to help adventurers bone up on a variety of subjects. We approached one such seeker-after-knowledge for a comment.<br>   ""Studying here has helped me find better, more efficient ways to adventure,"" they said. ""Plus, the cafeteria food is top notch!""<br>   Where will this new focus on education lead <0>? We'll continue to bring you all the latest developments as they happen."
"#01616","The Legend Returns"
"#01617","　Everyone seems to be talking about <0> these days, and that's not likely to change now that the legendary Royal Sword has been discovered there. The weapon in question, which many thought to be nothing more than a myth, was found in the hands of a local hero.<br>   ""I had no idea this thing was so famous. I'd been using it to slice bread. Sorry about that!""<br>   The sword will now be available for adventurers to equip, giving them an edge in battle. We wonder who will be the first to use it."
"#01618","A Fierce Enemy"
"#01619","　<1>, the dreaded monster that has been terrorizing the land, has been defeated at last. Brave adventurers from <0> were able to defeat this enemy despite it being many times their size. As the news has spread, the town is becoming the talk of the monster hunting community. We attempted to interview the ones responsible, but found it difficult to cut through to the facts when ten different adventurers insisted they were the one who struck the finishing blow."
"#01620","A Mage Arrives"
"#01621","　<0> has been gaining in popularity for some time, and has now attracted a mage.<br>   ""This guy showed up in a flash of light,"" said one adventurer. ""I thought maybe the place was on fire, but it turned out it was just a mage teleporting in. Seems a little crazy to me, though...""<br>   Since hearing that some jobs would allow them to use magic, the number of adventurers walking around trying to shoot lightning out of their hands has greatly increased, for better or worse."
"#01622","Bubble Bubble..."
"#01623","　<0> has recently added a Magic Cauldron to the town. Items found on quests or in shops can be simmered down in the cauldron into Magic Points, which can then be converted into rare items or new facilities. Reports also say these Magic Points can be used to make weapons stronger, a feature that local adventurers will surely appreciate!"
"#01624","1,000 Popularity"
"#01625","　According to our calculations, the Popularity of <0> has reached 1,000. We visited the town to get the reactions of the residents.<br>   ""Oh, really? I had no idea,"" said one adventurer. ""I bet it's all thanks to me, right? Heh.""<br>   Congratulations. We hope the town will continue growing and attracting new adventurers."
"#01626","3,000 Popularity"
"#01627","　Flash! <0> has achieved a Popularity rating of 3,000. Even the most optimistic of our editors were surprised at the speed with which the town has grown. We wasted no time visiting the town to convey the news to the mayor, who was eating lunch and promptly dropped a whole tray of snacks in surprise. We were later invoiced for it but were happy to pay."
"#01628","5,000 Popularity"
"#01629","　The town of <0> has reached a Popularity score of 5,000. The editor in charge of calculating the totals couldn't believe it at first, and other towns nearby have also expressed their surprise. We sent an undercover reporter to the town to try to determine the secret of their success.<br>   ""It's got a bunch of great facilities for its adventurers. And don't forget the gifts! I can see why people like it so much,"" he said upon his return, his arms piled high with gifts.<br>   Unfortunately, our covert observation was exposed when the reporter couldn't help sending a ""thank you"" card from our editorial offices..."
"#01630","10,000 Popularity"
"#01631","　When we discovered that <0> had reached 10,000 Popularity, a cheer went up throughout our editorial offices.<br>   Asked for comment, the <0>'s mayor said, ""It's hard to put my feelings into words. We've had a lot of laughter and tears, but I have to give my thanks to all of the adventurers who have helped us. I know we can still do better, though.""<br>   The mayor blinked back tears, clearly overcome with emotion. Congratulations!"
"#01632","20,000 Popularity"
"#01633","　We have just learned that <0> has achieved an unprecedented 20,000 Popularity rating. The editor performing the calculation initially thought there had been some mistake, but if any town can do it, it's <0>. The town has attracted attention all over the world, appearing at the top of every ""Most Admired Towns"" list. We asked the <0>'s mayor for comment.<br>   ""It doesn't matter how big or small your town is; you just have to work hard, day after day.""<br>   Congratulations on this amazing achievement!"
"#01634","10th Anniversary"
"#01635","　Ten years have passed since the rejuvenation of <0>. The mayor said a few words of appreciation at a small party attended by the town's leaders and adventurers.<br>   ""It's thanks to all of you that we've come this far. Let's keep working to bring more adventurers here. Now let's party!""<br>   We look forward to seeing what happens in the coming years."
"#01636","20th Anniversary"
"#01637","　Twenty years have now passed since <0>'s landmark revival. The mayor gave a brief speech at a large party attended by adventurers, town leaders, and other local luminaries, seemingly overcome by emotion.<br>   ""Thank you all. I will never forget the way I feel tonight.""<br>   We look forward to seeing what happens to the town in the coming years."
"#01638","50th Anniversary"
"#01639","　Today marks the 50th anniversary of <0>! While the town started out modestly, this bustling burg now appears on every adventurer's ""Best Towns"" list. A grand party was held in honor of the occasion, featuring the town's latest delicacy, <1> Crackers. A small band also performed a song composed by a town leader we all know very well.<br>   ""It should go without saaaying~ Thank you for plaaaying~ But this isn't the eeend~ We'll meet agaaaain...someday ~""<br>   Let's hope the mayor doesn't quit their day job. Congratulations, and good luck!"
"#01640","A Monstrous New Partnership"
"#01641","　Since time immemorial, adventurers and monsters have been enemies. Nobody thought that would ever change...until now. <0> has recruited a mage capable of taming monsters and convincing them to fight alongside their former foes. Our reporters headed over to the newly-built Monster Farm to see these creatures in their new environment.<br>   ""We're all friends here,"" local monster <1> told us. ""We eat, sleep, and train together. The bonds of friendship we've forged mean we can always count on each other in battle, too.""<br>   Could this be the start of a new age of coexistence? Watch this space."
"#01642","A-Mage-ing Developments"
"#01643","　After many years of animosity, bridges are finally being built between the worlds of monster and man. And it's all thanks to the existence of mages. We interviewed one of these talented new class of adventurers. Despite her partner monster gnawing the top of her head, she was all smiles.<br>   ""It's hard to believe we were ever enemies. Once you get to know them, monsters are actually pretty smart. And so cute, too!""<br>   It looks like the day when humans and monsters can live together in peace may not be so far away."
"#01644","Goodbye Slow Days!"
"#01645","　Are your stores not pulling in customers? Do your staff stand idle, polishing the counter all day? Worrie ye notte - help is at hand! Our journalists have pinpointed the cause: Charm. Studies say items can be used to improve this stat and attract more people to your business. The better the item's compatibility with your facility, the more dramatic the effect will be. Try it today and take the first step toward achieving the success you deserve!"
"#01646","Castle Construction"
"#01647","　Latest reports indicate <0> now has its own castle. Adventurers looking for a classy yet imposing place to stay are already lining up to take a look.<br>   ""It seems like only yesterday we were just a ragtag settlement,"" the mayor said. ""And now we've got our own castle! Somebody pinch me, I must be dreaming!""<br>   Here's hoping this castle becomes the symbol of a bright new future for <0>."
"#01648","Town Guide Triumph"
"#01649","　Our old favorite <0> has passed one of the Town Guide's contests with flying colors. Considering the judging panel's exacting standards, this truly is cause for celebration.<br>   ""Oh, you know, it's just a lucky break,"" the proud mayor told our reporter. ""We thought we'd try to make our town a little more special, and here we are!""<br>   Is luck really all there is to it? We have a feeling this won't be the last time fortune smiles on <0>."
"#01650","Boss Battle Blitz"
"#01651","　It has just come to light that adventurers from <0> have defeated a fearsome boss monster. This news was met with joy and celebration from nearby towns, who had been suffering attacks by this foul beast for some time.<br>   ""I watched the whole battle from a safe distance,"" the mayor told us. ""This monster was hot stuff, but our adventurers never gave up. I couldn't be more proud!""<br>   We look forward to seeing what other challenges the town will overcome going forward."
"#01652","Branching Out"
"#01653","　Having brought peace to <0> and the surrounding area, the mayor has set eyes on new horizons, founding a new town known as <1>. Dropping in to the new settlement, our reporter found it to be a hive of activity.<br>   ""Things are kind of crazy right now while we set everything up,"" the mayor told us in between cups of coffee, ""But a fresh start is just what we need to motivate our adventurers!""<br>   Will <1> be just as big a success as its predecessor? Only time will tell."
"#01654","Thriving Community"
"#01655","　According to the latest data, <0> is now home to 30 resident adventurers. With so many hardened warriors choosing to settle down, the town is safer and more prosperous than ever. We found the mayor's assistant, Vicky Ville, gazing at the collection of houses with tears in her eyes.<br>   ""We were such a tiny little place at first... Who'd have thought we'd have this many people wanting to stay? They're not just residents to us; they're family.""<br>   All the gold they take in from taxes can't hurt, either!"
"#01656","Neighborhood Watching"
"#01657","　<0> has become well-known for its unique traits, with adventurer after adventurer dropping by to see what the town has to offer.<br>   One delighted tourist explained, ""I read about this place in the Town Guide, and it sounded like fun. The scenery's great, and I've already taken a ton of great pictures. Oh, and I've got to remember to grab a couple of souvenirs before I leave.""<br>   Will tourism become a large part of the town's identity from here on? We'll continue to bring you the latest developments as they happen."
"#01658","Conserve Your Trait Points!"
"#01659","　Several of our readers have written in asking for help with a curious phenomenon. These hardworking town leaders have poured their resources into promoting their settlements' unique features, only to see their Trait Points disappear. We reached out to an expert from the Town Guide for an explanation.<br>   ""Using items or holding events is a good start, but it doesn't end there. After a while, your points will start going down again. You have to stagger your events and item use to maintain a good score.""<br>   Fascinating stuff. Take note, all you Town Guide Contest hopefuls out there!"
"#01660","Monster Town"
"#01661","Nature Reserve"
"#01662","Danger Town"
"#01663","Battle Grounds"
"#01664","Shacky Old Town"
"#01665","=#00682"
"#01666","Shopping Town"
"#01667","Floral Town"
"#01668","Clown Town"
"#01669","Wrestling Arena"
"#01670","Bakery Boomtown"
"#01671","Adrenaline Town"
"#01672","Horror Town"
"#01673","Demon Town"
"#01674","Treasure Trove"
"#01675","Mining Town"
"#01676","Zen Center"
"#01677","Candy Town"
"#01678","Sweet Tooth Town"
"#01679","Hero Proving Ground"
"#01680","Safety Zone"
"#01681","Magic Town"
"#01682","Spirit World"
"#01683","Wild West Town"
"#01684","Artistic Town"
"#01685","Tourist Town"
"#01686","Trendy Town"
"#01687","Noodle Nexus"
"#01688","Curry City"
"#01689","Buffet Town"
"#01690","Retirement Village"
"#01691","Ladylike Town"
"#01692","Aristocratic Burg"
"#01693","=#00838"
"#01694","Cutting-Edge City"
"#01695","Campus Town"
"#01696","=#00678"
"#01697","Mushroom Colony"
"#01698","Stink Town"
"#01699","Melony Town"
"#01700","Veggie Village"
"#01701","Fruity Town"
"#01702","Spice City"
"#01703","Dairy Farm"
"#01704","Arctic Community"
"#01705","New Frontier"
"#01706","Tapioca Town"
"#01707","Blackened Borough"
"#01708","Healthy Town"
"#01709","Culinary City"
"#01710","Hunter Town"
"#01711","Charming Burg"
"#01712","Historic Town"
"#01713","Royal City"
"#01714","Potato Ville"
"#01715","Squishy Town"
"#01716","Cephalopod City"
"#01717","Fishing Port"
"#01718","Industrious Town"
"#01719","=#00702"
"#01720","Wild Town"
"#01721","Animal Reserve"
"#01722","Mascot Town"
"#01723","Creative Community"
"#01724","Second-Chance City"
"#01725","Port Town"
"#01726","Pirate Haven"
"#01727","Hero HQ"
"#01728","Stronghold"
"#01729","Ramen Battleground"
"#01730","Fortune Town"
"#01731","Funtime City"
"#01732","Festive Town"
"#01733","Halloween Village"
"#01734","Circus Town"
"#01735","Tower Complex"
"#01736","Hot Springs Town"
"#01737","Tropical Paradise"
"#01738","Monkey World"
"#01739","Rough & Ready Town"
"#01740","Cyborg City"
"#01741","Entomology Center"
"#01742","Athletic Town"
"#01743","Economic Hub"
"#01744","Dragon Nest"
"#01745","Golden City"
"#01746","Mystery Town"
"#01747","Musical City"
"#01748","Hidden Gem"
"#01749","Merchant Town"
"#01750","=#00794"
"#01751","Stargazer City"
"#01752","Riverside Town"
"#01753","Picnic Town"
"#01754","Green City"
"#01755","Post Office Town"
"#01756","Windmill Town"
"#01757","Heroic Gathering"
"#01758","Full-Belly Town"
"#01759","Knight Town"
"#01760","All-Natural Town"
"#01761","Carnivore City"
"#01762","Apothecary Town"
"#01763","Fire Town"
"#01764","Ice Town"
"#01765","Thunder Town"
"#01766","Water Town"
"#01767","Frostbound Town"
"#01768","Aviation Center"
"#01769","Firework Fanclub"
"#01770","Busy Burg"
"#01771","Good Old Town"
"#01772","Totally Normal Town"
"#01773","Pot Luck Town"
"#01774","Hard-Working Town"
"#01775","Grassy Town"
"#01776","Dessert Town"
"#01777","Forest Sanctuary"
"#01778","Detective Town"
"#01779","Rice Cake City"
"#01780","Book Town"
"#01781","Paper Town"
"#01782","Bubbling Burg"
"#01783","Center of Happiness"
"#01784","Merch Town"
"#01785","Relaxing Town"
"#01786","New Home"
"#01787","Town of Darkness"
"#01788","Town of Light"
"#01789","=#00710"
"#01790","High-Class City"
"#01791","High Fashion Center"
"#01792","Intelligentsia Town"
"#01793","Mystifying Town"
"#01794","Kairo City"
"#01795","Sorcerer City"
"#01796","Tender Town"
"#01797","Summer Veggie Village"
"#01798","Meat-Lovers Town"
"#01799","Fermentation Station"
"#01800","Red Town"
"#01801","Ice-Cold City"
"#01802","Soda Pop City"
"#01803","Cultured Town"
"#01804","Cursed Town"
"#01805","Sophisticated Town"
"#01806","Anglers' Abode"
"#01807","Thriving Town"
"#01808","Sunset Village"
"#01809","Final Area"
"#01810","Cafe Town"
"#01811","Ice Cream City"
"#01812","Donut Town"
"#01813","Udon City"
"#01814","Hot Pot Town"
"#01815","Mushroom Paradise"
"#01816","Banana Plantation"
"#01817","Pineapple Town"
"#01818","Steamed Cake Burg"
"#01819","Garlic Town"
"#01820","Carrot Club"
"#01821","Radish Lovers Town"
"#01822","Tomato Kingdom"
"#01823","Honey Paradise"
"#01824","Cake Kingdom"
"#01825","Egg Town"
"#01826","Red Bean Cake Village"
"#01827","Shrimp Town"
"#01828","Sweet Potato Town"
"#01829","Coffee City"
"#01830","Tea Lovers Town"
"#01831","Steakhouse City"
"#01832","You got <co=2a34f8><0></co> <pic=tpoint0>Town Points!"
"#01833","You got <co=2a34f8><0></co> <pic=tpoint1>Diamond Points!"
"#01834","You got <co=2a34f8><0></co>!"
"#01835","Maintenance fees of <co=2a34f8><0></co> paid."
"#01836","<co=2a34f8><0></co> will now visit your town!"
"#01837","<co=2a34f8><0></co> has joined you!"
"#01838","New event added: <co=2a34f8><0></co>!"
"#01839","New marketing method added."
"#01840","You can now build your own <co=2a34f8><0></co>!"
"#01841","Adventurer Satisfaction increased by <co=2a34f8><0></co>!"
"#01842","You got a new weapon: <co=2a34f8><0></co>!"
"#01843","You got new armor: <co=2a34f8><0></co>!"
"#01844","You got a new accessory: <co=2a34f8><0></co>!"
"#01845","New quest added: <co=2a34f8><0></co>!"
"#01846","<co=2a34f8><0></co> started."
"#01847","The shop has restocked its <co=2a34f8>items</co>!"
"#01848","The shop has <co=2a34f8>new items</co> in stock!"
"#01849","The shop has <co=2a34f8>new facilities</co> in stock!"
"#01850","Someone <pic=t_ca1><co=2a34f8>wants to move into town</co>."
"#01851","We've got a new <pic=t_ca1><co=2a34f8>adventurer who wants to move in</co>."
"#01852","You got a new <pic=medal0><co=2a34f8>medal</co>!"
"#01853","Your town's Popularity went up by <co=2a34f8><0></co>!"
"#01854","You can now shop at Pumpkin Products!"
"#01855","The battle with <co=2a34f8><0></co> has begun!"
"#01856","The time for <co=2a34f8><0></co> was extended!"
"#01857","<co=2a34f8><0></co> was canceled. Popularity <co=FF0E01>-10</co>."
"#01858","There's only one month left to complete the quest <co=2a34f8><0></co>!"
"#01859","You collected <co=2a34f8><0></co>G in taxes!"
"#01860","A giant monster has awakened..."
"#01861","Giant monster sighted near town!"
"#01862","Giant monster's footsteps heard!"
"#01863","is on a rampage! Popularity <co=FF0E01>-10</co>."
"#01864","You can now select a new job: <co=2a34f8><0></co>!"
"#01865","=#01834"
"#01866","<co=2a34f8><0></co> has been added to the menu."
"#01867","Signed up for the <co=2a34f8><0></co> contest."
"#01868","You can now apply to the <co=2a34f8><0></co> contest!"
"#01869","Not enough <co=2a34f8><0></co>."
"#01870","You got <co=2a34f8><0> x<1></co>!"
"#01871","You got <co=2a34f8><0></co> from the farm!"
"#01872","You got <co=2a34f8><0></co> from the dungeon!"
"#01873","<co=2a34f8><0></co> can now be developed!"
"#01874","A new <co=2a34f8>Town Guide Contest</co> is now available!"
"#01875","You can use the Magic Cauldron!"
"#01876","The Magic Cauldron finished boiling!"
"#01877","You need <co=2a34f8><0></co> to switch monsters."
"#01878","That's going to block the entrance to the town!"
"#01879","You got a <pic=medal0><co=2a34f8>medal</co> from the Adventurers Guild!"
"#01880","Cave Exploration"
"#01881","Cave"
"#01882","Deep Chasm Exploration"
"#01883","Deep Chasm"
"#01884","Spooky Forest Exploration"
"#01885","Bamboo Spear"
"#01886","Ice Cave Exploration"
"#01887","Ice Cave"
"#01888","Scary Forest Exploration"
"#01889","Scary Forest"
"#01890","Volcanic Cave Exploration"
"#01891","Volcanic Cave"
"#01892","Rocky Cave Exploration"
"#01893","Rocky Cave"
"#01894","Gloomy Ice Cave"
"#01895","Lakeshore Exploration"
"#01896","Lakeshore"
"#01897","=#01888"
"#01898","Abandoned Building Exploration"
"#01899","Abandoned Building"
"#01900","Gloomy Stone Cave"
"#01901","Ruins Exploration"
"#01902","Ruins"
"#01903","Gloomy Volcanic Cave"
"#01904","Desert Exploration"
"#01905","Desert"
"#01906","Fresh Lakeshore"
"#01907","Meadow Exploration"
"#01908","Meadow"
"#01909","Thick Grove Exploration"
"#01910","Thick Grove"
"#01911","Gloomy Ruins"
"#01912","Cherry Grove Exploration"
"#01913","Cherry Grove"
"#01914","Historic Ruins Exploration"
"#01915","Historic Ruins"
"#01916","Scorching Desert"
"#01917","Pretty Meadow"
"#01918","Legendary Grove"
"#01919","Ruined Graveyard Exploration"
"#01920","Ruined Graveyard"
"#01921","Ancient Tomb Exploration"
"#01922","Ancient Tomb"
"#01923","Scorching Volcanic Cave"
"#01924","Historic Tomb"
"#01925","Mystery Cherry Grove"
"#01926","Mysterious Gate Exploration"
"#01927","Mysterious Gate"
"#01928","Creepy Graveyard"
"#01929","Creepy Ruins"
"#01930","Eerie Fortress Exploration"
"#01931","Eerie Fortress"
"#01932","Ancient Tower Exploration"
"#01933","Ancient Tower"
"#01934","Infestation"
"#01935","Mob"
"#01936","Defeat the Monster Mob"
"#01937","aaa"
"#01938","Defeat the Monster Army"
"#01939","Defeat the Monster Party"
"#01940","Defeat the Monster Team"
"#01941","Defeat the Monster Unit"
"#01942","Defeat the Monster Union"
"#01943","Defeat the Monster Alliance"
"#01944","Vs."
"#01945","Rampaging"
"#01946","Strikes Back"
"#01947","Toggle Display"
"#01948","Job"
"#01949","Change"
"#01950","Rename"
"#01951","Town Traits"
"#01952","All"
"#01953","=#00489"
"#01954","Partner"
"#01955","Sort"
"#01956","Well done. This marks the end of the main part of the game."
,"Your Clear Points will now be calculated."
"#01957","Total Clear Points:<br><0>"
"#01958","You set a new High Score!"
,"Congratulations! All that hard work really paid off."
"#01959","Total Clear Points:<br><0>"
,"You didn't set a new score record this time, but don't worry too much about it."
"#01960","Try hard and I'm sure you'll get it next time!"
